entidad,nombre,num_encuestas
01,AGUASCALIENTES,634
02,BAJA CALIFORNIA,633
03,BAJA CALIFORNIA SUR,625
04,CAMPECHE,631
05,COAHUILA DE ZARAGOZA,624
06,COLIMA,641
07,CHIAPAS,629
08,CHIHUAHUA,628
09,CIUDAD DE MEXICO,649
10,DURANGO,637
11,GUANAJUATO,643
12,GUERRERO,659
13,HIDALGO,638
14,JALISCO,636
15,MEXICO,661
16,MICHOACAN DE OCAMPO,628
17,MORELOS,645
18,NAYARIT,676
19,NUEVO LEON,621
20,OAXACA,674
21,PUEBLA,640
22,QUERETARO,640
23,QUINTANA ROO,606
24,SAN LUIS POTOSI,662
25,SINALOA,622
26,SONORA,641
27,TABASCO,649
28,TAMAULIPAS,635
29,TLAXCALA,640
30,VERACRUZ DE IGNACIO DE LA LLAVE,628
31,YUCATAN,644
32,ZACATECAS,629
