rango_id,rango_descripcion,hog_privaciones,tot_hogares,prop_privacion,prop_no_privacion
01,"Hasta $3,600",3377,4020,0.8400497512437811,0.15995024875621888
02,"De $3,601 a $6,100",3541,4440,0.7975225225225225,0.20247747747747746
03,"De $6,101 a $8,100",1949,2639,0.7385373247442213,0.2614626752557787
04,"De $8,101 a $9,900",847,1238,0.684168012924071,0.31583198707592897
05,"De $9,901 a $12,100",1491,2432,0.6130756578947368,0.38692434210526316
06,"De $12,101 a $14,500",582,1008,0.5773809523809523,0.42261904761904767
07,"De $14,501 a $17,600",632,1268,0.49842271293375395,0.501577287066246
08,"De $17,601 a $21,900",463,1201,0.3855120732722731,0.6144879267277269
09,"De $21,901 a $29,100",291,903,0.3222591362126246,0.6777408637873754
10,"De $29,101 a $45,100",192,857,0.22403733955659277,0.7759626604434072
11,"Más de $45,100",53,437,0.12128146453089245,0.8787185354691076
