entidad,municipio,tot_viviendas,num_encuestas,encuestas_100
20,503,124.0,18,14.516129032258064
20,246,180.0,19,10.555555555555555
08,049,841.0,20,2.3781212841854935
20,231,802.0,19,2.369077306733167
19,043,772.0,18,2.33160621761658
31,010,746.0,16,2.1447721179624666
32,058,860.0,18,2.0930232558139537
20,077,1085.0,21,1.935483870967742
20,449,1031.0,19,1.8428709990300678
20,017,1061.0,19,1.7907634307257303
20,244,1051.0,18,1.7126546146527117
31,066,1123.0,19,1.6918967052537845
21,159,1161.0,19,1.636520241171404
10,019,1153.0,18,1.5611448395490026
31,062,1374.0,19,1.3828238719068413
31,009,1315.0,18,1.3688212927756653
30,171,1451.0,19,1.3094417643004823
24,030,1508.0,19,1.259946949602122
08,059,1569.0,19,1.2109623964308478
30,195,1500.0,18,1.2
30,007,1929.0,23,1.1923276308968378
07,010,1566.0,17,1.0855683269476373
31,055,1914.0,20,1.044932079414838
10,024,3472.0,36,1.0368663594470047
31,004,1752.0,18,1.0273972602739725
10,015,3522.0,36,1.0221465076660987
29,007,4163.0,40,0.9608455440787893
21,057,1683.0,16,0.9506833036244801
22,003,3812.0,36,0.944386149003148
32,001,1808.0,17,0.9402654867256637
06,006,1713.0,16,0.9340338587273789
16,030,3659.0,32,0.8745558895873189
30,186,2092.0,18,0.8604206500956023
29,004,4501.0,38,0.8442568318151522
06,004,6192.0,52,0.8397932816537468
08,054,2180.0,18,0.8256880733944955
24,047,2505.0,20,0.7984031936127745
08,023,1821.0,14,0.7688083470620538
13,034,2602.0,20,0.7686395080707148
07,053,1695.0,13,0.7669616519174042
31,011,2370.0,18,0.759493670886076
01,008,2370.0,18,0.759493670886076
29,053,1714.0,13,0.7584597432905484
32,050,2642.0,19,0.7191521574564723
16,057,2226.0,16,0.7187780772686433
20,125,2950.0,21,0.711864406779661
26,056,2787.0,19,0.6817366343738788
04,001,11136.0,75,0.6734913793103449
32,045,2552.0,17,0.6661442006269592
12,074,5807.0,38,0.6543826416394007
29,026,6542.0,42,0.6420055029043106
20,325,3137.0,20,0.637551801083838
16,013,2528.0,16,0.6329113924050633
12,072,3029.0,19,0.6272697259821723
21,089,3188.0,19,0.5959849435382685
15,027,3374.0,20,0.5927682276229994
32,022,5400.0,32,0.5925925925925926
20,549,3235.0,19,0.5873261205564142
32,040,5504.0,32,0.5813953488372093
31,003,3276.0,19,0.57997557997558
32,029,5883.0,34,0.5779364269930307
32,055,9050.0,52,0.574585635359116
20,324,12727.0,72,0.5657264084230377
17,027,3593.0,20,0.5566379070414695
18,001,10863.0,59,0.5431280493418025
30,177,2821.0,15,0.5317263381779511
05,011,3407.0,18,0.5283240387437629
31,091,3234.0,17,0.525664811379097
28,013,4579.0,24,0.52413190652981
29,059,1722.0,9,0.5226480836236934
16,072,3664.0,19,0.5185589519650655
21,075,3288.0,17,0.5170316301703163
29,008,3875.0,20,0.5161290322580645
