LLAVEVIV,P1_1,P1_2,P1_3,P1_4_01,P1_4_02,P1_4_03,P1_4_04,P1_4_05,P1_4_06,P1_4_07,P1_4_08,P1_4_09,P1_4_10,P1_5,P1_6,P1_7,P1_8_1,P1_8_2,P1_8_3,P1_8_4,P1_8_5,P1_9,P1_10,P2_1,P2_2,P2_3,UPM,VIV_SEL,ENT,MUN,TLOC,REGION,FAC_VIV,UPM_DIS,EST_DIS,ENT_MUN
076100410,02,03,01,1,1,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,1,,,05,1,,0761004,10,07,034,4,4,2195,00633,0052,07034
076134711,02,03,01,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,04,1,,0761347,11,07,057,4,4,1903,00639,0052,07057
066002005,02,03,01,1,1,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,03,1,,0660020,05,06,007,4,2,219,00523,0045,06007
070159301,02,03,01,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,06,1,,0701593,01,07,101,1,4,2459,00653,0054,07101
070313410,02,03,01,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,03,1,,0703134,10,07,065,2,4,1704,00616,0049,07065
070323109,02,03,01,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,05,1,,0703231,09,07,075,2,4,2421,00614,0049,07075
070361211,02,03,01,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,01,1,,0703612,11,07,020,3,4,1427,00623,0051,07020
070399819,02,03,01,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,04,1,,0703998,19,07,062,3,4,2122,00621,0051,07062
070436910,02,03,01,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,03,1,,0704369,10,07,101,3,4,1738,00617,0050,07101
076003909,02,03,01,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,04,1,,0760039,09,07,015,4,4,2038,00635,0052,07015
050416702,02,03,01,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,07,1,,0504167,02,05,035,1,1,1340,00429,0038,05035
060125817,02,03,01,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,03,1,,0601258,17,06,001,2,2,251,00512,0043,06001
046009201,02,03,01,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,,,02,1,,0460092,01,04,003,4,4,448,00317,0029,04003
046015915,02,03,01,1,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,1,,,04,1,,0460159,15,04,006,4,4,523,00312,0029,04006
046027412,02,03,01,1,2,1,1,2,2,1,2,1,2,1,1,2,2,2,2,2,1,,,01,1,,0460274,12,04,010,4,4,411,00314,0029,04010
040140114,02,03,01,1,2,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,03,1,,0401401,14,04,005,3,4,316,00307,0027,04005
046008308,02,03,01,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,03,1,,0460083,08,04,003,4,4,496,00313,0029,04003
046008501,02,03,01,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,02,1,,0460085,01,04,003,4,4,390,00318,0029,04003
026029119,02,03,01,1,1,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,05,1,,0260291,19,02,002,4,1,1640,00117,0011,02002
030009503,02,03,01,1,1,2,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,,,06,1,,0300095,03,03,003,1,2,340,00266,0024,03003
020571303,02,03,01,1,1,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,01,1,,0205713,03,02,004,1,1,1728,00175,0013,02004
020797103,02,03,01,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,,,04,1,,0207971,03,02,002,3,1,1765,00115,0010,02002
126099802,02,03,01,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,04,1,,1260998,02,12,039,4,4,2262,01117,0090,12039
120451410,02,03,01,1,2,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,05,1,,1204514,10,12,053,3,4,1604,01113,0088,12053
080895206,02,03,01,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,05,1,,0808952,06,08,059,3,1,1274,00676,0058,08059
130115514,02,03,01,1,1,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,1,,,03,1,,1301155,14,13,008,2,3,1919,01175,0094,13008
141229517,02,03,01,1,1,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,1,,,03,1,,1412295,17,14,119,2,2,3517,01233,0105,14119
141275616,02,03,01,1,1,1,2,2,2,1,1,1,2,1,1,2,2,2,2,2,1,,,05,1,,1412756,16,14,016,3,2,8153,01238,0107,14016
136058302,02,03,01,1,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,1,,,02,1,,1360583,02,13,012,4,3,1378,01195,0096,13012
110729304,02,03,01,1,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,2,1,,,04,1,,1107293,04,11,031,2,3,3776,01099,0085,11031
076205115,02,03,01,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,02,1,,0762051,15,07,089,4,4,2173,00630,0052,07089
116061902,02,03,01,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,05,1,,1160619,02,11,004,4,3,3472,01032,0080,11004
116061915,02,03,01,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,02,1,,1160619,15,11,004,4,3,3472,01032,0080,11004
116100005,02,03,01,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,03,1,,1161000,05,11,017,4,3,3621,01031,0080,11017
116100009,02,03,01,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,06,1,,1161000,09,11,017,4,3,3621,01031,0080,11017
116102215,02,03,01,1,1,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,03,1,,1161022,15,11,018,4,3,2311,01039,0081,11018
140486704,02,03,01,1,1,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,04,1,,1404867,04,14,098,1,2,4437,01254,0109,14098
116118016,02,03,01,1,2,2,1,2,2,1,2,1,2,1,1,2,2,2,2,2,1,,,04,1,,1161180,16,11,023,4,3,2984,01033,0080,11023
080530802,02,03,01,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,03,1,,0805308,02,08,037,1,1,2977,00685,0061,08037
200048603,02,03,01,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,05,1,,2000486,03,20,067,1,4,2131,01831,0167,20067
200341710,02,03,01,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,03,1,,2003417,10,20,559,3,4,1315,01811,0164,20559
160316802,02,03,01,1,1,1,2,2,2,1,1,1,2,1,1,2,2,2,2,2,1,,,02,1,,1603168,02,16,043,2,2,1198,01506,0132,16043
206031602,02,03,01,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,04,1,,2060316,02,20,002,4,4,1878,01820,0165,20002
206031608,02,03,01,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,,,01,1,,2060316,08,20,002,4,4,1878,01820,0165,20002
160396601,02,03,01,1,1,1,2,2,2,1,1,1,2,1,1,2,2,2,2,2,1,,,01,1,,1603966,01,16,076,2,2,1619,01450,0124,16076
206137311,02,03,01,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,06,1,,2061373,11,20,324,4,4,3378,01812,0165,20324
160589511,02,03,01,1,2,1,1,2,2,1,2,1,2,1,1,2,2,2,2,2,1,,,02,1,,1605895,11,16,102,3,2,2167,01453,0125,16102
166136412,02,03,01,1,2,2,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,,,03,1,,1661364,12,16,083,4,2,2329,01462,0127,16083
220139005,02,03,01,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,05,1,,2201390,05,22,014,1,3,1355,01956,0186,22014
166141520,02,03,01,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,05,1,,1661415,20,16,088,4,2,2169,01467,0128,16088
170116603,02,03,01,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,03,1,,1701166,03,17,007,1,3,666,01544,0138,17007
210684602,02,03,01,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,,,05,1,,2106846,02,21,075,3,3,2485,01860,0173,21075
170342205,02,03,01,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,03,1,,1703422,05,17,030,3,3,666,01511,0134,17030
200112502,02,03,01,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,07,1,,2001125,02,20,043,2,4,1411,01802,0162,20043
156137308,02,03,01,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,02,1,,1561373,08,15,057,4,3,12487,01332,0115,15057
176024017,02,03,01,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,02,1,,1760240,17,17,006,4,3,1709,01521,0137,17006
270152318,02,03,01,1,1,1,2,2,2,1,1,1,2,1,1,2,2,2,2,2,1,,,02,1,,2701523,18,27,002,3,4,919,02424,0224,27002
250466512,02,03,01,1,1,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,04,1,,2504665,12,25,001,3,2,1731,02232,0209,25001
250514014,02,03,01,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,03,1,,2505140,14,25,011,3,2,2172,02231,0209,25011
270186701,02,03,01,1,1,2,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,05,1,,2701867,01,27,010,3,4,1420,02425,0225,27010
250516214,02,03,01,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,05,1,,2505162,14,25,012,3,2,2307,02230,0209,25012
290131202,02,03,01,1,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,,,02,1,,2901312,02,29,026,3,3,587,02664,0245,29026
290140104,02,03,01,1,2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,,,01,1,,2901401,04,29,031,3,3,576,02666,0245,29031
256053103,02,03,01,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,04,1,,2560531,03,25,007,4,2,1161,02235,0210,25007
256060408,02,03,01,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,02,1,,2560604,08,25,010,4,2,1636,02239,0211,25010
256060412,02,03,01,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,03,1,,2560604,12,25,010,4,2,1636,02239,0211,25010
256060415,02,03,01,1,1,2,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,,,02,1,,2560604,15,25,010,4,2,1636,02239,0211,25010
290143501,02,03,01,1,1,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,04,1,,2901435,01,29,032,3,3,586,02670,0245,29032
240029804,02,03,01,1,2,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,06,1,,2400298,04,24,013,1,2,2268,02162,0204,24013
280313802,02,03,01,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,02,1,,2803138,02,28,027,1,1,1636,02521,0236,28027
290204503,02,03,01,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,,,05,1,,2902045,03,29,060,3,3,677,02655,0245,29060
296019020,02,03,01,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,,,04,1,,2960190,20,29,021,4,3,613,02604,0241,29021
280598201,02,03,01,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,,,05,1,,2805982,01,28,038,1,1,1758,02505,0236,28038
