ENT_MUN,CVE_ENT,CVE_MUN,NOM_MUN,LAT_DECIMAL,LON_DECIMAL,ALTITUD,CVE_CARTA
01001,01,001,AGUASCALIENTES,21.87982200,-102.29604600,1878,F13D19
01002,01,002,ASIENTOS,22.09556200,-102.07079200,1979,F13B89
01003,01,003,CALVILLO,21.84690700,-102.71875000,1634,F13D17
01004,01,004,COSIO,22.36640900,-102.30004400,2005,F13B79
01005,01,005,JESUS MARIA,21.96127300,-102.34341600,1877,F13D18
01006,01,006,PABELLON DE ARTEAGA,22.14920100,-102.27654100,1911,F13B89
01007,01,007,RINCON DE ROMOS,22.22923200,-102.32306800,1948,F13B89
01008,01,008,SAN JOSE DE GRACIA,22.15021600,-102.41563400,2051,F13B88
01009,01,009,TEPEZALA,22.22422700,-102.16697100,2101,F13B89
01010,01,010,EL LLANO,21.91886900,-101.96530700,2030,F14C11
01011,01,011,SAN FRANCISCO DE LOS ROMO,22.07239200,-102.27267800,1892,F13B89
02001,02,001,ENSENADA,31.80894400,-116.59513400,18,H11B12
02002,02,002,MEXICALI,32.64117600,-115.47557800,0,I11D65
02003,02,003,TECATE,32.57267800,-116.62655000,526,I11D62
02004,02,004,TIJUANA,32.53246000,-117.01891300,22,I11C69
02005,02,005,PLAYAS DE ROSARITO,32.36368400,-117.05445900,25,I11C79
02006,02,006,SAN QUINTIN,30.52598000,-115.93194600,22,H11B64
02007,02,007,SAN FELIPE,31.02292000,-114.83890100,10,H11B47
03001,03,001,COMONDU,25.03463500,-111.67333900,49,G12C47
03002,03,002,MULEGE,27.33686800,-112.26827400,3,G12A36
03003,03,003,LA PAZ,24.14874500,-110.30659000,31,G12D83
03008,03,008,LOS CABOS,22.89701900,-109.92518500,41,F12B54
03009,03,009,LORETO,26.01277800,-111.34333300,1,G12A88
04001,04,001,CALKINI,20.37122500,-90.05073900,13,F15D79
04002,04,002,CAMPECHE,19.84481400,-90.53964900,6,E15B18
04003,04,003,CARMEN,18.63778900,-91.83645000,-2,E15B64
04004,04,004,CHAMPOTON,19.35621900,-90.72389000,10,E15B37
04005,04,005,HECELCHAKAN,20.17696500,-90.13451700,14,F15D89
04006,04,006,HOPELCHEN,19.74554800,-89.84504300,90,E16A21
04007,04,007,PALIZADA,18.25359800,-92.09090100,-3,E15B73
04008,04,008,TENABO,20.03967700,-90.22576300,8,F15D89
04009,04,009,ESCARCEGA,18.60431500,-90.73200000,84,E15B67
04010,04,010,CALAKMUL,18.50537100,-89.39727500,263,E16A62
04011,04,011,CANDELARIA,18.18345000,-91.04629300,45,E15B86
04012,04,012,SEYBAPLAYA,19.63919700,-90.68830100,3,E15B27
04013,04,013,DZITBALCHE,20.32074000,-90.05682800,12,F15D79
05001,05,001,ABASOLO,27.18194400,-101.42638800,435,G14A42
05002,05,002,ACUNIA,29.33000500,-100.97825800,291,H14C34
05003,05,003,ALLENDE,28.34722200,-100.85416700,378,H14C74
05004,05,004,ARTEAGA,25.45062100,-100.84962200,1680,G14C34
05005,05,005,CANDELA,26.84027700,-100.66388900,424,G14A55
05006,05,006,CASTANIOS,26.78527700,-101.43055500,750,G14A52
05007,05,007,CUATRO CIENEGAS,26.98686300,-102.06710000,741,G13B59
05008,05,008,ESCOBEDO,27.23647600,-101.22452200,392,G14A43
05009,05,009,FRANCISCO I. MADERO,25.77499900,-103.27305500,1111,G13D16
05010,05,010,FRONTERA,26.92611000,-101.44944400,590,G14A52
05011,05,011,GENERAL CEPEDA,25.37990700,-101.47929100,1470,G14C32
05012,05,012,GUERRERO,28.30841800,-100.37872500,220,H14C75
05013,05,013,HIDALGO,27.79168000,-99.87605400,151,G14A17
05014,05,014,JIMENEZ,29.02635500,-100.90322800,328,H14C44
05015,05,015,JUAREZ,27.60650600,-100.72711900,271,G14A24
05016,05,016,LAMADRID,27.04849300,-101.79359900,648,G14A41
05017,05,017,MATAMOROS,25.52813500,-103.23038300,1115,G13D26
05018,05,018,MONCLOVA,26.90124200,-101.41722400,607,G14A52
05019,05,019,MORELOS,28.41010400,-100.88663100,368,H14C74
05020,05,020,MUZQUIZ,27.87754900,-101.51651800,490,G14A12
05021,05,021,NADADORES,27.02903000,-101.59202300,519,G14A42
05022,05,022,NAVA,28.42187400,-100.76755300,327,H14C74
05023,05,023,OCAMPO,27.31121500,-102.39740400,1108,G13B38
05024,05,024,PARRAS,25.43738000,-102.18416900,1536,G13D39
05025,05,025,PIEDRAS NEGRAS,28.70809300,-100.52844100,225,H14C65
05026,05,026,PROGRESO,27.58825900,-101.37190600,471,G14A22
05027,05,027,RAMOS ARIZPE,25.54323300,-100.95078200,1394,G14C24
05028,05,028,SABINAS,27.84888800,-101.11998900,343,G14A13
05029,05,029,SACRAMENTO,27.00443900,-101.72503500,589,G14A41
05030,05,030,SALTILLO,25.42166400,-100.99972100,1600,G14C34
05031,05,031,SAN BUENAVENTURA,27.06025700,-101.55002900,495,G14A42
05032,05,032,SAN JUAN DE SABINAS,27.93390200,-101.21697700,390,G14A13
05033,05,033,SAN PEDRO,25.75777800,-102.98315600,1092,G13D17
05034,05,034,SIERRA MOJADA,28.04192400,-103.78972100,1342,H13D84
05035,05,035,TORREON,25.54175300,-103.45306100,1110,G13D25
05036,05,036,VIESCA,25.34360500,-102.80635000,1097,G13D37
05037,05,037,VILLA UNION,28.22049700,-100.72515400,380,H14C84
05038,05,038,ZARAGOZA,28.48704300,-100.91762100,360,H14C74
06001,06,001,ARMERIA,18.93707200,-103.96499700,20,E13B54
06002,06,002,COLIMA,19.24292200,-103.72811800,484,E13B44
06003,06,003,COMALA,19.32319800,-103.75880100,601,E13B34
06004,06,004,COQUIMATLAN,19.20141000,-103.81091700,330,E13B44
06005,06,005,CUAUHTEMOC,19.38694700,-103.57367900,1247,E13B35
06006,06,006,IXTLAHUACAN,19.00118400,-103.73859300,173,E13B44
06007,06,007,MANZANILLO,19.05320600,-104.31638100,12,E13B43
06008,06,008,MINATITLAN,19.38611000,-104.04963700,741,E13B33
06009,06,009,TECOMAN,18.91060400,-103.87378800,34,E13B54
06010,06,010,VILLA DE ALVAREZ,19.26477600,-103.73675800,520,E13B34
07001,07,001,ACACOYAGUA,15.34096500,-92.67461700,80,D15B31
07002,07,002,ACALA,16.55167400,-92.80750800,405,E15D61
07003,07,003,ACAPETAHUA,15.28283700,-92.68913200,31,D15B31
07004,07,004,ALTAMIRANO,16.73592000,-92.03859300,1242,E15D63
07005,07,005,AMATAN,17.37284800,-92.81912200,788,E15D31
07006,07,006,AMATENANGO DE LA FRONTERA,15.59803700,-92.04133600,1040,D15B23
07007,07,007,AMATENANGO DEL VALLE,16.52850100,-92.43549000,1809,E15D62
07008,07,008,ANGEL ALBINO CORZO,15.87264400,-92.72507900,634,D15B11
07009,07,009,ARRIAGA,16.23606500,-93.89947300,61,E15C87
07010,07,010,BEJUCAL DE OCAMPO,15.49764000,-92.17300000,2292,D15B33
07011,07,011,BELLA VISTA,15.58299700,-92.24484600,1581,D15B23
07012,07,012,BERRIOZABAL,16.80032100,-93.27327100,908,E15C59
07013,07,013,BOCHIL,16.99638300,-92.89021900,1151,E15D51
07014,07,014,EL BOSQUE,17.06221000,-92.72140800,1080,E15D41
07015,07,015,CACAHOATAN,14.98978800,-92.16811000,478,D15B53
07016,07,016,CATAZAJA,17.72832100,-92.01636600,10,E15D23
07017,07,017,CINTALAPA DE FIGUEROA,16.69868200,-93.72042700,539,E15C67
07018,07,018,COAPILLA,17.13079100,-93.15902200,1622,E15C49
07019,07,019,COMITAN DE DOMINGUEZ,16.25246100,-92.13583500,1643,E15D73
07020,07,020,LA CONCORDIA,16.11671500,-92.68793400,539,E15D81
07021,07,021,COPAINALA,17.09361100,-93.21055600,432,E15C49
07022,07,022,CHALCHIHUITAN,17.07288300,-92.59879500,999,E15D42
07023,07,023,CHAMULA,16.78750000,-92.68916600,2258,E15D51
07024,07,024,CHANAL,16.66006200,-92.25994200,2113,E15D63
07025,07,025,CHAPULTENANGO,17.34040000,-93.13007800,620,E15C39
07026,07,026,CHENALHO,16.89427700,-92.62614700,1522,E15D52
07027,07,027,CHIAPA DE CORZO,16.70795800,-93.01595900,403,E15C69
07028,07,028,CHIAPILLA,16.57049200,-92.72002400,543,E15D61
07029,07,029,CHICOASEN,16.96725400,-93.10523500,234,E15C59
07030,07,030,CHICOMUSELO,15.74493600,-92.28328700,591,D15B23
07031,07,031,CHILON,17.10549100,-92.27152800,869,E15D43
07032,07,032,ESCUINTLA,15.31926900,-92.65855800,78,D15B32
07033,07,033,FRANCISCO LEON,17.29557400,-93.35291200,495,E15C38
07034,07,034,FRONTERA COMALAPA,15.66016400,-92.14105000,645,D15B23
07035,07,035,FRONTERA HIDALGO,14.77783700,-92.17598300,60,D15B53
07036,07,036,LA GRANDEZA,15.51013000,-92.22587900,1951,D15B23
07037,07,037,HUEHUETAN,15.01851900,-92.38418100,35,D15B42
07038,07,038,HUIXTAN,16.71215100,-92.45459700,1995,E15D62
07039,07,039,HUITIUPAN,17.17323100,-92.68593200,300,E15D41
07040,07,040,HUIXTLA,15.13828800,-92.46581800,47,D15B42
07041,07,041,LA INDEPENDENCIA,16.19085600,-91.92879200,1514,E15D84
07042,07,042,IXHUATAN,17.29327100,-93.00838200,444,E15C39
07043,07,043,IXTACOMITAN,17.43079400,-93.09657200,140,E15C39
07044,07,044,IXTAPA,16.80352500,-92.90590300,1102,E15D51
07045,07,045,IXTAPANGAJOYA,17.44249900,-92.95310800,656,E15D31
07046,07,046,JIQUIPILAS,16.66772100,-93.65047500,517,E15C68
07047,07,047,JITOTOL,17.06796700,-92.86233600,1644,E15D41
07048,07,048,JUAREZ,17.60815100,-93.19333100,121,E15C29
07049,07,049,LARRAINZAR,16.88444600,-92.71325800,2016,E15D51
07050,07,050,LA LIBERTAD,17.69013600,-91.71906200,21,E15D24
07051,07,051,MAPASTEPEC,15.44113400,-92.89160600,42,D15B31
07052,07,052,LAS MARGARITAS,16.31594700,-91.98156800,1525,E15D74
07053,07,053,MAZAPA DE MADERO,15.38796600,-92.18773400,1081,D15B33
07054,07,054,MAZATAN,14.86302500,-92.44947100,16,D15B52
07055,07,055,METAPA,14.83731400,-92.19094400,103,D15B53
07056,07,056,MITONTIC,16.88358700,-92.56843900,1982,E15D52
07057,07,057,MOTOZINTLA,15.36316700,-92.24774400,1283,D15B33
07058,07,058,NICOLAS RUIZ,16.43707300,-92.58534700,732,E15D72
07059,07,059,OCOSINGO,16.90803800,-92.09582600,893,E15D53
07060,07,060,OCOTEPEC,17.22502900,-93.16440500,1460,E15C49
07061,07,061,OCOZOCOAUTLA DE ESPINOSA,16.76146200,-93.37565200,820,E15C58
07062,07,062,OSTUACAN,17.40559100,-93.33713600,132,E15C38
07063,07,063,OSUMACINTA,16.93546700,-93.09133700,408,E15C59
07064,07,064,OXCHUC,16.78611900,-92.33491600,2011,E15D52
07065,07,065,PALENQUE,17.50913300,-91.98103300,80,E15D24
07066,07,066,PANTELHO,17.00665900,-92.46957900,1187,E15D42
07067,07,067,PANTEPEC,17.18809200,-93.04954600,1461,E15C49
07068,07,068,PICHUCALCO,17.50855100,-93.11776700,37,E15C29
07069,07,069,PIJIJIAPAN,15.69167300,-93.20931700,58,D15A29
07070,07,070,EL PORVENIR,15.45636700,-92.27964000,2839,D15B33
07071,07,071,VILLA COMALTITLAN,15.21193800,-92.57602400,36,D15B42
07072,07,072,PUEBLO NUEVO SOLISTAHUACAN,17.15756800,-92.89732200,1712,E15D41
07073,07,073,RAYON,17.20050300,-93.01121700,1340,E15C49
07074,07,074,REFORMA,17.86581200,-93.14710800,20,E15C19
07075,07,075,LAS ROSAS,16.36413200,-92.36958000,1300,E15D72
07076,07,076,SABANILLA,17.28348400,-92.55172000,195,E15D32
07077,07,077,SALTO DE AGUA,17.55702100,-92.33342200,1,E15D22
07078,07,078,SAN CRISTOBAL DE LAS CASAS,16.73702200,-92.63756400,2120,E15D62
07079,07,079,SAN FERNANDO,16.87171100,-93.20628500,886,E15C59
07080,07,080,SILTEPEC,15.55718500,-92.32285900,1570,D15B23
07081,07,081,SIMOJOVEL,17.14082600,-92.71520800,663,E15D41
07082,07,082,SITALA,17.02505000,-92.30774300,1082,E15D43
07083,07,083,SOCOLTENANGO,16.24294900,-92.35031600,882,E15D82
07084,07,084,SOLOSUCHIAPA,17.42865500,-93.03117900,153,E15C39
07085,07,085,SOYALO,16.89099200,-92.92528900,1166,E15D51
07086,07,086,SUCHIAPA,16.62195700,-93.10479400,453,E15C69
07087,07,087,SUCHIATE,14.67945200,-92.15094200,24,D15B63
07088,07,088,SUNUAPA,17.48937700,-93.24316900,189,E15C39
07089,07,089,TAPACHULA,14.91107100,-92.26432000,177,D15B53
07090,07,090,TAPALAPA,17.19004800,-93.10460500,1704,E15C49
07091,07,091,TAPILULA,17.24840200,-93.01625800,780,E15C49
07092,07,092,TECPATAN,17.13699500,-93.31146800,306,E15C49
07093,07,093,TENEJAPA,16.84079200,-92.46004800,1553,E15D52
07094,07,094,TEOPISCA,16.54151400,-92.47259700,1781,E15D62
07096,07,096,TILA,17.30063500,-92.42586400,1062,E15D32
07097,07,097,TONALA,16.09135500,-93.75178300,59,E15C87
07098,07,098,TOTOLAPA,16.54473200,-92.68037500,649,E15D61
07099,07,099,LA TRINITARIA,16.11905900,-92.05046900,1554,E15D83
07100,07,100,TUMBALA,17.24698700,-92.36271800,1040,E15D42
07101,07,101,TUXTLA GUTIERREZ,16.75397200,-93.11519200,522,E15C59
07102,07,102,TUXTLA CHICO,14.94018900,-92.16896900,312,D15B53
07103,07,103,TUZANTAN,15.14606300,-92.42162000,68,D15B42
07104,07,104,TZIMOL,16.18423100,-92.18793600,1366,E15D83
07105,07,105,UNION JUAREZ,15.03053800,-92.10522300,847,D15B43
07106,07,106,VENUSTIANO CARRANZA,16.33961700,-92.56513500,783,E15D72
07107,07,107,VILLA CORZO,16.18475100,-93.26768300,586,E15C89
07108,07,108,VILLAFLORES,16.23548600,-93.26770700,560,E15C89
07109,07,109,YAJALON,17.17390900,-92.33394400,790,E15D42
07110,07,110,SAN LUCAS,16.61163700,-92.71934200,658,E15D61
07111,07,111,ZINACANTAN,16.76011900,-92.72358000,2159,E15D51
07112,07,112,SAN JUAN CANCUC,16.89224300,-92.37195200,1423,E15D52
07113,07,113,ALDAMA,16.91781700,-92.68819200,1808,E15D51
07114,07,114,BENEMERITO DE LAS AMERICAS,16.51582800,-90.65330200,129,E15D68
07115,07,115,MARAVILLA TENEJAPA,16.14039600,-91.29510300,379,E15D86
07116,07,116,MARQUES DE COMILLAS,16.33313300,-90.76528300,130,E15D77
07117,07,117,MONTECRISTO DE GUERRERO,15.69391700,-92.61925900,1220,D15B22
07118,07,118,SAN ANDRES DURAZNAL,17.13199700,-92.80498800,1572,E15D41
07119,07,119,SANTIAGO EL PINAR,16.94143800,-92.71459600,1684,E15D51
07120,07,120,CAPITAN LUIS ANGEL VIDAL,15.60112800,-92.62909700,1563,D15B22
07121,07,121,RINCON CHAMULA SAN PEDRO,17.20947100,-92.93757000,1879,E15D41
07122,07,122,EL PARRAL,16.36622800,-93.00671100,647,E15C79
07123,07,123,EMILIANO ZAPATA,16.53917100,-92.89672400,443,E15D61
07124,07,124,MEZCALAPA,17.18922200,-93.60477300,140,E15C48
07125,07,125,HONDURAS DE LA SIERRA,15.57645700,-92.48696700,1344,D15B22
08001,08,001,AHUMADA,30.61773300,-106.51241500,1197,H13A65
08002,08,002,ALDAMA,28.83838000,-105.91129300,1270,H13C57
08003,08,003,ALLENDE,26.93942600,-105.39507600,1593,G13A58
08004,08,004,AQUILES SERDAN,28.59450300,-105.88747400,1696,H13C67
08005,08,005,ASCENSION,31.09217600,-107.99594900,1300,H13A41
08006,08,006,BACHINIVA,28.76473200,-107.25436200,2025,H13C53
08007,08,007,BALLEZA,26.95410800,-106.34692300,1563,G13A55
08008,08,008,BATOPILAS DE MANUEL GOMEZ MORIN,27.02665200,-107.73971000,587,G13A41
08009,08,009,BOCOYNA,27.96999900,-107.60027800,2400,G13A12
08010,08,010,BUENAVENTURA,29.84340800,-107.47131400,1553,H13C12
08011,08,011,CAMARGO,27.69496200,-105.17162000,1224,G13A29
08012,08,012,CARICHI,27.91653200,-107.05681000,2062,G13A13
08013,08,013,CASAS GRANDES,30.37570300,-107.94880500,1475,H13A71
08014,08,014,CORONADO,26.73761500,-105.15831200,1510,G13A69
08015,08,015,COYAME DEL SOTOL,29.46204300,-105.09435700,1215,H13C39
08016,08,016,LA CRUZ,27.86388900,-105.19638900,1200,G13A19
08017,08,017,CUAUHTEMOC,28.40631200,-106.86604400,2061,H13C74
08018,08,018,CUSIHUIRIACHI,28.18762100,-107.10246500,2165,H13C83
08019,08,019,CHIHUAHUA,28.63679400,-106.07630600,1421,H13C66
08020,08,020,CHINIPAS,27.39281000,-108.53622900,429,G12B38
08021,08,021,DELICIAS,28.19294800,-105.47104600,1173,H13C88
08022,08,022,DR. BELISARIO DOMINGUEZ,28.02824600,-106.53664700,1738,H13C85
08023,08,023,GALEANA,29.99274000,-107.55330200,1478,H13C12
08024,08,024,SANTA ISABEL,28.34334600,-106.36805400,1619,H13C75
08025,08,025,GOMEZ FARIAS,29.35701900,-107.73865500,2151,H13C31
08026,08,026,GRAN MORELOS,28.24782400,-106.51012300,1680,H13C85
08027,08,027,GUACHOCHI,26.81915200,-107.06936100,2395,G13A53
08028,08,028,GUADALUPE,31.39010700,-106.10175400,1090,H13A36
08029,08,029,GUADALUPE Y CALVO,26.09451600,-106.96436900,2307,G13A84
08030,08,030,GUAZAPARES,27.27638100,-108.27995500,1441,G12B39
08031,08,031,GUERRERO,28.47743800,-107.33240600,2063,H13C73
08032,08,032,HIDALGO DEL PARRAL,26.92208700,-105.66714300,1751,G13A57
08033,08,033,HUEJOTITAN,27.05467000,-106.17945600,1649,G13A46
08034,08,034,IGNACIO ZARAGOZA,29.64321200,-107.76419500,2012,H13C21
08035,08,035,JANOS,30.88725700,-108.18984900,1371,H12B59
08036,08,036,JIMENEZ,27.13054900,-104.92297600,1381,G13B41
08037,08,037,JUAREZ,31.74646500,-106.48501800,1128,H13A25
08038,08,038,JULIMES,28.42305500,-105.43055500,1120,H13C78
08039,08,039,LOPEZ,27.00250000,-105.03305500,1420,G13A49
08040,08,040,MADERA,29.19000000,-108.14138900,2099,H12D49
08041,08,041,MAGUARICHI,27.85930300,-107.99395600,1676,G13A11
08042,08,042,MANUEL BENAVIDES,29.10738600,-103.90781600,1070,H13D44
08043,08,043,MATACHI,28.84322800,-107.75464800,1901,H13C51
08044,08,044,MATAMOROS,26.76387700,-105.58332900,1734,G13A58
08045,08,045,MEOQUI,28.26779600,-105.48029000,1148,H13C78
08046,08,046,MORELOS,26.67052600,-107.67724700,577,G13A61
08047,08,047,MORIS,28.14838400,-108.52323700,749,H12D88
08048,08,048,NAMIQUIPA,29.03245100,-107.47117300,1880,H13C42
08049,08,049,NONOAVA,27.47205400,-106.73533200,1639,G13A34
08050,08,050,NUEVO CASAS GRANDES,30.41398600,-107.91210300,1457,H13A71
08051,08,051,OCAMPO,28.20129500,-108.20944800,1993,H12D89
08052,08,052,OJINAGA,29.56450100,-104.41566500,797,H13D22
